entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000597,2026-08-28,1555.00,credit,Sego Lily Cleaning — check 4357,4357,1010,CD
GL-000600,2026-08-28,3985.80,credit,Sundance Freight Lines — check 4360,4360,1010,CD
GL-000601,2026-08-28,2784.90,credit,High Desert Dairy — check 4361,4361,1010,CD
GL-000610,2026-08-28,4341.90,credit,Cedar Mesa Spices — check 4370,4370,1010,CD
GL-000613,2026-08-28,4671.85,credit,Cache Valley Creamery — check 4373,4373,1010,CD
GL-000619,2026-08-28,5318.75,debit,Park City Market — deposit DEP17907,DEP17907,1010,CR
GL-000620,2026-08-28,618.75,debit,Wasatch Deli Group — deposit DEP80644,DEP80644,1010,CR
GL-000621,2026-08-28,3391.10,debit,Timpanogos Coffee — deposit DEP40833,DEP40833,1010,CR
GL-000622,2026-08-28,8715.05,debit,Red Butte Diner — deposit DEP85247,DEP85247,1010,CR
GL-000626,2026-08-28,7481.90,debit,Wasatch Deli Group — deposit DEP76092,DEP76092,1010,CR
GL-000045,2026-08-31,3947.95,credit,Salt Flats Beverage — check 4134,4134,1010,CD
GL-000069,2026-08-31,5154.40,debit,Redrock Provisions — invoice 8409,INV8409,1010,CR
GL-000091,2026-08-31,5607.35,debit,Heber Valley Foods — invoice 8709,INV8709,1010,CR
GL-000092,2026-08-31,5606.75,debit,Emigration Kitchen — invoice 8702,INV8702,1010,CR
GL-000108,2026-08-31,2786.80,credit,Sundance Freight Lines — check 4163,4163,1010,CD
GL-000115,2026-08-31,20744.50,debit,Lakeside Grill — invoice 8874,INV8874,1010,CR
GL-000130,2026-08-31,6666.30,credit,Northgate Paper Supply — check 4171,4171,1010,CD
GL-000213,2026-08-31,4348.25,credit,Rocky Mountain Power — check 4214,4214,1010,CD
GL-000226,2026-08-31,8298.20,credit,Alpine Equipment Repair — check 4219,4219,1010,CD
GL-000248,2026-08-31,14658.80,credit,High Desert Dairy — check 4230,4230,1010,CD
GL-000300,2026-08-31,6113.05,credit,Union Pacific Logistics — check 4256,4256,1010,CD
GL-000320,2026-08-31,2196.90,credit,Sundance Freight Lines — check 4268,4268,1010,CD
GL-000321,2026-08-31,450.80,credit,High Desert Dairy — check 4269,4269,1010,CD
GL-000326,2026-08-31,2685.65,credit,Cedar Mesa Spices — check 4272,4272,1010,CD
GL-000334,2026-08-31,3235.00,credit,Great Basin Insurance — check 4279,4279,1010,CD
GL-000474,2026-08-31,6145.10,debit,Antelope Island Foods — remittance,,1010,CR
GL-000477,2026-08-31,1991.10,debit,Antelope Island Foods — remittance,,1010,CR
GL-000495,2026-08-31,4841.40,debit,Wasatch Produce Partners — remittance,,1010,CR
GL-000606,2026-08-31,663.15,credit,Northgate Paper Supply — check 4366,4366,1010,CD
GL-000609,2026-08-31,2216.55,credit,Weber Fleet Services — check 4369,4369,1010,CD
GL-000615,2026-08-31,2879.70,credit,Zion Cold Storage — check 4375,4375,1010,CD
GL-000624,2026-08-31,696.60,debit,Alta Vista Bistro — deposit DEP87885,DEP87885,1010,CR
